SECCION,LISTA_NOMINAL_2026,HOMBRES_2026,MUJERES_2026,ESTRUCTURA_IZQUIERDA_2012,ESTRUCTURA_IZQUIERDA_2015,ESTRUCTURA_IZQUIERDA_2018,ESTRUCTURA_IZQUIERDA_2021,ESTRUCTURA_IZQUIERDA_2024,ESTRUCTURA_TRADICIONAL_2012,ESTRUCTURA_TRADICIONAL_2015,ESTRUCTURA_TRADICIONAL_2018,ESTRUCTURA_TRADICIONAL_2021,ESTRUCTURA_TRADICIONAL_2024,LISTA_NOMINAL_HIST_2012,LISTA_NOMINAL_HIST_2015,LISTA_NOMINAL_HIST_2018,LISTA_NOMINAL_HIST_2021,LISTA_NOMINAL_HIST_2024,PARTICIPACION_PCT_2012,PARTICIPACION_PCT_2015,PARTICIPACION_PCT_2018,PARTICIPACION_PCT_2021,PARTICIPACION_PCT_2024,VOTOS_MC_2012,VOTOS_MC_2015,VOTOS_MC_2018,VOTOS_MC_2021,VOTOS_MC_2024,VOTOS_NULOS_2012,VOTOS_NULOS_2015,VOTOS_NULOS_2018,VOTOS_NULOS_2021,VOTOS_NULOS_2024,VOTOS_TOTALES_2012,VOTOS_TOTALES_2015,VOTOS_TOTALES_2018,VOTOS_TOTALES_2021,VOTOS_TOTALES_2024,ESTRUCTURA_IZQUIERDA_2017_EST,ESTRUCTURA_IZQUIERDA_2023_EST,ESTRUCTURA_TRADICIONAL_2017_EST,ESTRUCTURA_TRADICIONAL_2023_EST,LISTA_NOMINAL_HIST_2017_EST,LISTA_NOMINAL_HIST_2023_EST,VOTOS_TOTALES_2017_EST,VOTOS_TOTALES_2023_EST,ELECTORES_MENORES_25,VOTO_DURO_TRADICIONAL,VOTO_DURO_IZQUIERDA,ORFANDAD_NARANJA,VOLATILIDAD_PSI,ABSTENCION_PROYECTADA_2026,INDICE_IRC,INDICE_IEE,VOTOS_TOTALES_PROYECTADOS_2026
5406,3153.0,1499.0,1654.0,801.0,124.0,766.0,677.0,1326.0,1417.0,931.0,6954.0,6984.0,8007.0,0.0,0.0,2658.0,2899.0,3180.0,0.0,0.0,70.84,47.67,65.35,10.0,15.0,41.0,34.0,172.0,72.0,41.0,49.0,43.0,62.0,1469.0,1128.0,1883.0,1382.0,2078.0,410.0,1018.0,6317.0,7841.0,2484.0,3051.0,1485.0,1823.0,485.0,5493.0,731.7142857142857,255.0,0.5391304347826087,1102.0,100.0,33.09,228
5407,3126.0,1508.0,1618.0,842.0,144.0,827.0,638.0,1295.0,1393.0,857.0,7056.0,6979.0,7873.0,0.0,0.0,2708.0,2906.0,3130.0,0.0,0.0,70.38,46.11,63.74,19.0,13.0,33.0,41.0,179.0,108.0,35.0,55.0,26.0,51.0,1489.0,1033.0,1906.0,1340.0,1995.0,404.0,1030.0,6454.0,7767.0,2567.0,3048.0,1496.0,1725.0,585.0,5482.714285714285,740.0,270.0,0.4434782608695652,1135.0,100.0,28.94,230
5408,2884.0,1383.0,1501.0,839.0,108.0,706.0,567.0,1143.0,1331.0,786.0,6450.0,6337.0,7283.0,0.0,0.0,2454.0,2610.0,2877.0,0.0,0.0,72.37,49.62,67.61,13.0,29.0,51.0,27.0,199.0,64.0,51.0,47.0,38.0,70.0,1389.0,987.0,1776.0,1295.0,1945.0,421.0,928.0,5946.0,7087.0,2338.0,2753.0,1415.0,1627.0,499.0,5031.428571428572,673.1428571428571,318.0,0.6086956521739131,932.0,100.0,38.61,275
5409,2579.0,1247.0,1332.0,622.0,91.0,553.0,440.0,1102.0,1027.0,645.0,5312.0,5401.0,6418.0,0.0,0.0,2091.0,2267.0,2543.0,0.0,0.0,64.08,44.11,67.2,9.0,14.0,24.0,20.0,121.0,46.0,25.0,47.0,30.0,62.0,1045.0,780.0,1340.0,1000.0,1709.0,307.0,710.0,4836.0,6024.0,1923.0,2432.0,1141.0,1209.0,572.0,4237.571428571428,546.4285714285714,500.0,0.5391304347826087,834.0,100.0,41.58,171
5410,5437.0,2585.0,2852.0,1067.0,168.0,1166.0,1001.0,1999.0,1710.0,1204.0,10652.0,11078.0,13219.0,0.0,0.0,4139.0,4643.0,5335.0,0.0,0.0,66.39,44.0,58.63,30.0,24.0,46.0,37.0,293.0,74.0,72.0,87.0,45.0,62.0,1789.0,1481.0,2748.0,2043.0,3128.0,609.0,1467.0,9741.0,12608.0,3894.0,5117.0,2176.0,2448.0,1035.0,8601.714285714286,1068.142857142857,680.0,0.5391304347826087,2207.0,100.0,37.83,403
5411,3139.0,1515.0,1624.0,958.0,110.0,947.0,728.0,1220.0,1474.0,870.0,7690.0,7207.0,7995.0,0.0,0.0,2942.0,3003.0,3205.0,0.0,0.0,69.31,45.45,59.25,18.0,17.0,47.0,17.0,132.0,67.0,40.0,60.0,30.0,46.0,1514.0,1047.0,2039.0,1365.0,1899.0,406.0,979.0,7026.0,7817.0,2804.0,3115.0,1542.0,1633.0,560.0,5725.571428571428,764.0,266.0,0.4,1306.0,100.0,27.0,167
5412,3902.0,1845.0,2057.0,883.0,151.0,1004.0,957.0,1464.0,1444.0,1028.0,8301.0,8508.0,9502.0,0.0,0.0,3241.0,3516.0,3849.0,0.0,0.0,62.88,48.92,57.37,22.0,17.0,35.0,26.0,199.0,78.0,37.0,50.0,54.0,51.0,1504.0,1204.0,2038.0,1720.0,2208.0,466.0,1139.0,7632.0,9256.0,3075.0,3700.0,1643.0,1905.0,649.0,6524.428571428572,866.2857142857143,303.0,0.4434782608695652,1641.0,100.0,29.04,256
5413,1114.0,561.0,553.0,116.0,12.0,350.0,240.0,479.0,341.0,193.0,2647.0,2559.0,2824.0,0.0,0.0,1014.0,1069.0,1117.0,0.0,0.0,71.4,46.87,62.94,3.0,2.0,18.0,20.0,50.0,17.0,4.0,28.0,21.0,11.0,331.0,208.0,724.0,501.0,703.0,144.0,367.0,2481.0,2749.0,963.0,1092.0,591.0,577.0,260.0,1970.5714285714287,244.0,126.0,0.09565217391304348,414.0,100.0,13.74,56
5441,2149.0,1055.0,1094.0,627.0,79.0,414.0,386.0,722.0,903.0,629.0,4788.0,4851.0,5443.0,0.0,0.0,1857.0,2003.0,2202.0,0.0,0.0,66.4,47.03,58.72,10.0,12.0,15.0,18.0,87.0,50.0,33.0,79.0,36.0,61.0,920.0,750.0,1233.0,942.0,1293.0,0.0,556.0,0.0,5278.0,0.0,2127.0,0.0,1069.0,462.0,3127.4285714285716,397.7142857142857,224.0,0.5304347826086957,909.0,100.0,35.18,117
5442,2669.0,1255.0,1414.0,744.0,93.0,484.0,421.0,882.0,1044.0,683.0,5561.0,5730.0,6376.0,0.0,0.0,2211.0,2396.0,2650.0,0.0,0.0,59.07,44.82,52.08,13.0,21.0,28.0,8.0,111.0,61.0,41.0,48.0,47.0,66.0,1068.0,839.0,1306.0,1074.0,1380.0,0.0,645.0,0.0,6249.0,0.0,2549.0,0.0,1219.0,568.0,3663.285714285714,467.0,161.0,0.5739130434782609,1270.0,100.0,34.53,149
6433,504.0,211.0,293.0,0.0,9.0,84.0,82.0,189.0,0.0,152.0,1195.0,1163.0,1335.0,0.0,0.0,454.0,484.0,530.0,0.0,0.0,61.45,42.15,57.74,0.0,6.0,6.0,8.0,23.0,0.0,10.0,6.0,7.0,8.0,0.0,181.0,279.0,204.0,306.0,35.0,148.0,1083.0,1283.0,436.0,521.0,227.0,247.0,81.0,887.2857142857143,78.14285714285714,59.0,0.06956521739130435,224.0,100.0,13.12,26
6434,878.0,424.0,454.0,0.0,52.0,250.0,198.0,259.0,0.0,294.0,2095.0,2116.0,2330.0,0.0,0.0,784.0,828.0,919.0,0.0,0.0,75.89,61.35,65.18,0.0,14.0,9.0,18.0,85.0,0.0,15.0,11.0,5.0,11.0,0.0,387.0,595.0,508.0,599.0,162.0,221.0,1898.0,2310.0,742.0,884.0,475.0,556.0,120.0,1577.5714285714287,163.14285714285714,43.0,0.09565217391304348,320.0,100.0,8.37,92
6435,864.0,409.0,455.0,0.0,63.0,227.0,189.0,245.0,0.0,253.0,2009.0,2159.0,2304.0,0.0,0.0,760.0,842.0,884.0,0.0,0.0,74.61,62.11,73.53,0.0,7.0,9.0,25.0,85.0,0.0,23.0,14.0,7.0,17.0,0.0,354.0,567.0,523.0,650.0,133.0,233.0,1817.0,2330.0,718.0,879.0,422.0,582.0,110.0,1553.142857142857,155.71428571428572,68.0,0.14782608695652175,234.0,100.0,12.62,95
6436,810.0,382.0,428.0,0.0,18.0,202.0,136.0,314.0,0.0,238.0,1805.0,1773.0,2041.0,0.0,0.0,686.0,738.0,811.0,0.0,0.0,72.89,46.21,61.41,0.0,7.0,9.0,8.0,49.0,0.0,21.0,25.0,16.0,7.0,0.0,296.0,500.0,341.0,498.0,85.0,235.0,1649.0,1985.0,655.0,778.0,393.0,441.0,145.0,1355.857142857143,141.42857142857142,57.0,0.06086956521739131,313.0,100.0,8.77,53
6437,858.0,419.0,439.0,0.0,50.0,220.0,198.0,263.0,0.0,299.0,2027.0,2052.0,2308.0,0.0,0.0,751.0,808.0,878.0,0.0,0.0,76.83,60.02,73.69,0.0,9.0,10.0,10.0,60.0,0.0,18.0,13.0,14.0,18.0,0.0,374.0,577.0,485.0,647.0,131.0,230.0,1848.0,2241.0,719.0,847.0,450.0,555.0,159.0,1539.2857142857142,156.0,92.0,0.1565217391304348,231.0,100.0,14.94,68
6438,847.0,400.0,447.0,0.0,32.0,176.0,169.0,294.0,0.0,240.0,1562.0,1707.0,2099.0,0.0,0.0,596.0,677.0,829.0,0.0,0.0,71.48,54.06,62.73,0.0,8.0,7.0,9.0,46.0,0.0,6.0,12.0,10.0,15.0,0.0,298.0,426.0,366.0,520.0,92.0,243.0,1402.0,1947.0,552.0,764.0,339.0,441.0,161.0,1279.5714285714287,143.71428571428572,79.0,0.13043478260869565,309.0,100.0,14.12,52
6439,2064.0,972.0,1092.0,0.0,79.0,471.0,322.0,483.0,0.0,368.0,3895.0,4404.0,5317.0,0.0,0.0,1485.0,1743.0,2044.0,0.0,0.0,71.04,57.26,70.99,0.0,25.0,21.0,21.0,161.0,0.0,37.0,28.0,24.0,17.0,0.0,522.0,1055.0,998.0,1451.0,279.0,371.0,3447.0,4976.0,1353.0,1928.0,775.0,1145.0,339.0,3201.0,286.42857142857144,306.0,0.14782608695652175,593.0,100.0,17.94,189
6440,574.0,280.0,294.0,0.0,14.0,115.0,129.0,227.0,0.0,187.0,1159.0,1238.0,1500.0,0.0,0.0,430.0,491.0,581.0,0.0,0.0,75.58,54.38,66.44,0.0,3.0,10.0,3.0,42.0,0.0,7.0,16.0,11.0,8.0,0.0,221.0,325.0,267.0,386.0,73.0,188.0,1088.0,1461.0,413.0,554.0,278.0,360.0,106.0,947.5714285714286,106.57142857142857,26.0,0.06956521739130435,195.0,100.0,6.85,44
6441,937.0,455.0,482.0,0.0,67.0,245.0,221.0,283.0,0.0,266.0,2173.0,2293.0,2511.0,0.0,0.0,810.0,898.0,965.0,0.0,0.0,75.93,64.14,74.51,0.0,14.0,13.0,26.0,98.0,0.0,18.0,10.0,16.0,17.0,0.0,363.0,615.0,576.0,719.0,133.0,230.0,1989.0,2448.0,773.0,940.0,467.0,585.0,160.0,1668.5714285714287,168.42857142857142,134.0,0.14782608695652175,246.0,100.0,16.71,114
6442,2911.0,1403.0,1508.0,0.0,60.0,346.0,259.0,502.0,0.0,231.0,2749.0,4028.0,6395.0,0.0,0.0,1020.0,1585.0,2412.0,0.0,0.0,77.65,57.35,73.47,0.0,7.0,18.0,19.0,138.0,0.0,16.0,15.0,8.0,12.0,0.0,319.0,792.0,909.0,1772.0,210.0,384.0,2329.0,5455.0,892.0,2117.0,591.0,1245.0,421.0,3026.714285714286,251.57142857142858,527.0,0.10434782608695652,640.0,100.0,20.09,165
6443,658.0,304.0,354.0,0.0,20.0,143.0,87.0,209.0,0.0,245.0,1502.0,1461.0,1630.0,0.0,0.0,560.0,579.0,654.0,0.0,0.0,72.86,50.95,57.03,0.0,4.0,7.0,4.0,29.0,0.0,10.0,17.0,11.0,16.0,0.0,289.0,408.0,295.0,373.0,71.0,175.0,1397.0,1556.0,549.0,608.0,362.0,349.0,140.0,1113.0,100.71428571428571,24.0,0.1391304347826087,281.0,100.0,10.17,31
6444,666.0,301.0,365.0,0.0,39.0,188.0,153.0,196.0,0.0,181.0,1550.0,1632.0,1751.0,0.0,0.0,582.0,640.0,669.0,0.0,0.0,72.51,57.81,71.6,0.0,13.0,7.0,9.0,43.0,0.0,13.0,7.0,8.0,17.0,0.0,250.0,422.0,370.0,479.0,106.0,150.0,1397.0,1684.0,548.0,651.0,332.0,389.0,77.0,1170.7142857142858,118.85714285714286,90.0,0.14782608695652175,190.0,100.0,16.79,50
6445,731.0,344.0,387.0,0.0,47.0,189.0,148.0,218.0,0.0,204.0,1605.0,1657.0,1881.0,0.0,0.0,600.0,654.0,711.0,0.0,0.0,76.83,59.33,74.82,0.0,10.0,9.0,23.0,60.0,0.0,14.0,7.0,8.0,8.0,0.0,288.0,461.0,388.0,532.0,104.0,171.0,1457.0,1785.0,563.0,681.0,357.0,437.0,168.0,1227.0,125.28571428571429,95.0,0.06956521739130435,179.0,100.0,12.41,67
6446,744.0,352.0,392.0,0.0,39.0,173.0,140.0,217.0,0.0,179.0,1517.0,1653.0,1900.0,0.0,0.0,569.0,647.0,729.0,0.0,0.0,73.46,61.67,71.88,0.0,14.0,9.0,20.0,68.0,0.0,11.0,5.0,17.0,10.0,0.0,252.0,418.0,399.0,524.0,109.0,199.0,1376.0,1805.0,532.0,694.0,340.0,425.0,118.0,1204.2857142857142,125.28571428571429,99.0,0.08695652173913043,205.0,100.0,13.79,77
