SECCION,LISTA_NOMINAL_2026,HOMBRES_2026,MUJERES_2026
5318,4423.0,2036.0,2387.0
5319,2449.0,1121.0,1328.0
5320,2408.0,1084.0,1324.0
5321,1426.0,664.0,762.0
5322,1620.0,761.0,859.0
5328,915.0,419.0,496.0
5329,2551.0,1176.0,1375.0
5336,2696.0,1249.0,1447.0
5342,2165.0,1015.0,1150.0
5343,2880.0,1355.0,1525.0
5344,1360.0,628.0,732.0
5330,4719.0,2239.0,2480.0
5331,1364.0,644.0,720.0
5332,1384.0,653.0,731.0
5333,1620.0,765.0,855.0
5334,3301.0,1600.0,1701.0
5335,6266.0,2933.0,3333.0
5337,3499.0,1624.0,1875.0
5338,2123.0,967.0,1156.0
5339,2518.0,1158.0,1360.0
5340,1510.0,682.0,828.0
5341,1885.0,882.0,1003.0
5345,4748.0,2137.0,2611.0
5347,2489.0,1160.0,1329.0
5348,2687.0,1211.0,1476.0
5349,6770.0,3093.0,3677.0
5351,3853.0,1831.0,2021.0
5352,766.0,341.0,425.0
5353,1278.0,554.0,724.0
5419,2272.0,1058.0,1214.0
5420,1836.0,859.0,977.0
5421,2012.0,934.0,1078.0
5422,2348.0,1121.0,1227.0
5423,3288.0,1581.0,1707.0
5424,1971.0,921.0,1050.0
5425,4493.0,2198.0,2295.0
5426,1841.0,853.0,988.0
5427,768.0,354.0,414.0
5428,2877.0,1373.0,1504.0
5429,1797.0,874.0,923.0
5430,2335.0,1124.0,1211.0
5431,4126.0,1997.0,2129.0
5432,1690.0,771.0,919.0
5433,4080.0,1928.0,2152.0
5434,3674.0,1716.0,1958.0
5435,2089.0,993.0,1096.0
5436,3576.0,1687.0,1889.0
5437,4484.0,2109.0,2375.0
5438,4419.0,2126.0,2293.0
6675,1317.0,600.0,717.0
6676,1828.0,850.0,978.0
6821,1886.0,874.0,1012.0
6822,2003.0,940.0,1063.0
6823,2989.0,1375.0,1614.0
6824,2066.0,947.0,1119.0
7227,1115.0,525.0,590.0
7228,1750.0,806.0,944.0
7229,1246.0,572.0,674.0
7230,1668.0,784.0,884.0
7231,1075.0,496.0,579.0
7232,1991.0,895.0,1096.0
5137,1596.0,786.0,810.0
5138,1285.0,605.0,680.0
5139,506.0,237.0,269.0
5140,1114.0,535.0,579.0
5141,642.0,310.0,332.0
5142,632.0,282.0,350.0
5143,1395.0,695.0,700.0
5144,230.0,102.0,128.0
5145,919.0,417.0,502.0
5146,605.0,285.0,320.0
5147,1073.0,521.0,552.0
5148,1976.0,909.0,1067.0
5149,184.0,81.0,103.0
5150,447.0,214.0,233.0
5151,540.0,264.0,276.0
5152,941.0,440.0,501.0
5153,1216.0,570.0,646.0
5154,424.0,200.0,224.0
5155,492.0,243.0,249.0
5156,401.0,185.0,216.0
5157,874.0,425.0,449.0
5158,808.0,417.0,391.0
5159,629.0,321.0,308.0
5160,496.0,235.0,261.0
5161,1055.0,532.0,523.0
5162,378.0,182.0,196.0
5163,1162.0,523.0,639.0
5164,584.0,286.0,298.0
5165,452.0,216.0,236.0
5166,491.0,253.0,238.0
5167,367.0,192.0,175.0
5168,457.0,223.0,234.0
