SECCION,ANIO,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_MC,VOTOS_NULOS,VOTOS_TOTALES,LISTA_NOMINAL_HIST,PARTICIPACION_PCT
5197,2024,1009.0,80.0,20.0,6.0,267.0,372.0,71.77
5198,2012,1038.0,532.0,19.0,32.0,1053.0,0.0,0.0
5198,2015,551.0,77.0,11.0,33.0,681.0,0.0,0.0
5198,2018,3628.0,395.0,32.0,15.0,1020.0,1372.0,74.34
5198,2021,3406.0,337.0,20.0,9.0,808.0,1336.0,60.48
5198,2024,3481.0,350.0,67.0,18.0,969.0,1304.0,74.31
5199,2012,551.0,253.0,12.0,13.0,540.0,0.0,0.0
5199,2015,289.0,41.0,20.0,22.0,361.0,0.0,0.0
5199,2018,1789.0,181.0,10.0,10.0,511.0,666.0,76.73
5199,2021,1679.0,144.0,12.0,12.0,404.0,651.0,62.06
5199,2024,1696.0,159.0,33.0,12.0,473.0,625.0,75.68
5200,2012,727.0,395.0,11.0,24.0,728.0,0.0,0.0
5200,2015,454.0,70.0,20.0,20.0,561.0,0.0,0.0
5200,2018,2471.0,276.0,24.0,11.0,724.0,921.0,78.61
5200,2021,2365.0,236.0,18.0,19.0,610.0,909.0,67.11
5200,2024,2308.0,241.0,53.0,17.0,642.0,868.0,73.96
5201,2012,1021.0,497.0,16.0,40.0,1062.0,0.0,0.0
5201,2015,667.0,130.0,25.0,41.0,868.0,0.0,0.0
5201,2018,4034.0,396.0,27.0,25.0,1177.0,1500.0,78.47
5201,2021,3921.0,393.0,19.0,15.0,1010.0,1509.0,66.93
5201,2024,4148.0,448.0,88.0,13.0,1181.0,1547.0,76.34
5202,2012,1105.0,478.0,6.0,30.0,1126.0,0.0,0.0
5202,2015,718.0,84.0,24.0,44.0,892.0,0.0,0.0
5202,2018,3950.0,370.0,26.0,28.0,1164.0,1466.0,79.4
5202,2021,4005.0,303.0,17.0,7.0,1050.0,1507.0,69.67
5202,2024,4207.0,366.0,68.0,17.0,1218.0,1540.0,79.09
5203,2012,1770.0,882.0,27.0,66.0,1852.0,0.0,0.0
5203,2015,1176.0,205.0,37.0,58.0,1499.0,0.0,0.0
5203,2018,7489.0,828.0,39.0,34.0,2161.0,2806.0,77.01
5203,2021,7064.0,629.0,51.0,30.0,1599.0,2824.0,56.62
5203,2024,7708.0,817.0,158.0,29.0,2218.0,2863.0,77.47
