SECCION,ANIO,TIPO_ELECCION,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_TOTALES,LISTA_NOMINAL_HIST
5233,2017,GUBERNATURA,2385.0,111.0,640.0,884.0
5233,2023,GUBERNATURA,2283.0,86.0,631.0,829.0
5234,2017,GUBERNATURA,2487.0,163.0,683.0,926.0
5234,2023,GUBERNATURA,2479.0,187.0,692.0,898.0
5235,2017,GUBERNATURA,2841.0,230.0,766.0,1067.0
5235,2023,GUBERNATURA,2844.0,217.0,756.0,1049.0
5236,2017,GUBERNATURA,4187.0,280.0,1142.0,1551.0
5236,2023,GUBERNATURA,4167.0,328.0,1157.0,1513.0
5237,2017,GUBERNATURA,4051.0,324.0,1078.0,1525.0
5237,2023,GUBERNATURA,4274.0,402.0,1101.0,1602.0
5238,2017,GUBERNATURA,2592.0,209.0,736.0,947.0
5238,2023,GUBERNATURA,2496.0,192.0,697.0,906.0
5239,2017,GUBERNATURA,2440.0,155.0,673.0,911.0
5239,2023,GUBERNATURA,2375.0,207.0,629.0,876.0
5240,2017,GUBERNATURA,3932.0,301.0,1075.0,1457.0
5240,2023,GUBERNATURA,3795.0,309.0,1032.0,1389.0
5241,2017,GUBERNATURA,3254.0,215.0,853.0,1219.0
5241,2023,GUBERNATURA,3194.0,222.0,882.0,1164.0
5242,2017,GUBERNATURA,3930.0,304.0,1009.0,1494.0
5242,2023,GUBERNATURA,3876.0,335.0,953.0,1473.0
5243,2017,GUBERNATURA,3058.0,218.0,762.0,1171.0
5243,2023,GUBERNATURA,2890.0,211.0,726.0,1092.0
5244,2017,GUBERNATURA,3683.0,274.0,929.0,1431.0
5244,2023,GUBERNATURA,3560.0,300.0,869.0,1354.0
5245,2017,GUBERNATURA,4203.0,310.0,1073.0,1597.0
5245,2023,GUBERNATURA,3926.0,367.0,1005.0,1474.0
5246,2017,GUBERNATURA,2446.0,192.0,581.0,958.0
5246,2023,GUBERNATURA,2584.0,253.0,576.0,1009.0
5247,2017,GUBERNATURA,2764.0,406.0,1207.0,824.0
5247,2023,GUBERNATURA,2094.0,187.0,462.0,821.0
5248,2017,GUBERNATURA,5442.0,361.0,1378.0,2067.0
5248,2023,GUBERNATURA,5353.0,420.0,1376.0,2001.0
5249,2017,GUBERNATURA,3185.0,303.0,839.0,1196.0
5249,2023,GUBERNATURA,3144.0,329.0,819.0,1169.0
5250,2017,GUBERNATURA,3118.0,235.0,755.0,1208.0
5250,2023,GUBERNATURA,3277.0,351.0,775.0,1261.0
5251,2017,GUBERNATURA,4017.0,335.0,1004.0,1549.0
5251,2023,GUBERNATURA,4115.0,414.0,973.0,1584.0
5252,2017,GUBERNATURA,3858.0,273.0,972.0,1477.0
5252,2023,GUBERNATURA,3973.0,406.0,990.0,1506.0
5253,2017,GUBERNATURA,3041.0,216.0,704.0,1196.0
5253,2023,GUBERNATURA,2828.0,256.0,637.0,1098.0
5254,2017,GUBERNATURA,3518.0,252.0,895.0,1346.0
5254,2023,GUBERNATURA,3633.0,288.0,901.0,1374.0
5255,2017,GUBERNATURA,4690.0,366.0,1189.0,1800.0
5255,2023,GUBERNATURA,4896.0,551.0,1192.0,1865.0
5256,2017,GUBERNATURA,4270.0,297.0,1029.0,1659.0
5256,2023,GUBERNATURA,4487.0,425.0,1032.0,1743.0
5257,2017,GUBERNATURA,4032.0,313.0,967.0,1578.0
5257,2023,GUBERNATURA,4224.0,438.0,972.0,1646.0
